GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab3-springboot,com.example.copilot.core.dto,CreateOrderRequestDTO.OrderItemRequest,0,17,0,0,0,5,0,5,0,5
lab3-springboot,com.example.copilot.core.dto,CreateOrderRequestDTO,0,17,0,0,0,5,0,5,0,5
lab3-springboot,com.example.copilot.core.dto,CategoryDTO,0,31,0,0,0,13,0,9,0,9
lab3-springboot,com.example.copilot.core.dto,OrderItemDTO,0,31,0,0,0,13,0,9,0,9
lab3-springboot,com.example.copilot.core.dto,UserDTO,0,38,0,0,0,16,0,11,0,11
lab3-springboot,com.example.copilot.core.dto,OrderDTO,0,38,0,0,0,16,0,11,0,11
lab3-springboot,com.example.copilot.core.dto,ProductDTO,0,45,0,0,0,19,0,13,0,13
lab3-springboot,com.example.copilot.api.controller,ProductController,5,50,0,2,0,7,1,8,1,7
lab3-springboot,com.example.copilot.api.controller,UserController,10,40,1,1,0,7,2,7,1,7
lab3-springboot,com.example.copilot.api.controller,CategoryController,13,37,0,2,0,7,2,7,2,6
lab3-springboot,com.example.copilot.api.controller,OrderController,0,41,0,2,0,7,0,8,0,7
lab3-springboot,com.example.copilot.exception,GlobalExceptionHandler,104,38,0,0,18,7,3,2,3,2
lab3-springboot,com.example.copilot.exception,InsufficientStockException,0,4,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
lab3-springboot,com.example.copilot,CopilotApplication,5,3,0,0,2,1,1,1,1,1
lab3-springboot,com.example.copilot.service.impl,UserServiceImpl,8,132,4,4,1,29,4,8,0,8
lab3-springboot,com.example.copilot.service.impl,OrderServiceImpl,13,248,5,11,0,50,7,12,2,9
lab3-springboot,com.example.copilot.service.impl,CategoryServiceImpl,6,121,2,6,0,26,2,10,0,8
lab3-springboot,com.example.copilot.service.impl,ProductServiceImpl,24,173,3,7,4,36,4,10,1,8
lab3-springboot,com.example.copilot.core.entity,Category,8,23,0,0,4,9,2,7,2,7
lab3-springboot,com.example.copilot.core.entity,OrderItem,7,31,0,0,2,9,2,9,2,9
lab3-springboot,com.example.copilot.core.entity,User,0,38,0,0,0,11,0,11,0,11
lab3-springboot,com.example.copilot.core.entity,Product,7,45,0,0,3,19,2,13,2,13
lab3-springboot,com.example.copilot.core.entity,Order,4,34,0,0,1,10,1,10,1,10
lab3-springboot,com.example.copilot.core.enums,UserRole,0,15,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.core.enums,OrderStatus,0,27,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.config,OpenApiConfig,0,53,0,0,0,15,0,3,0,3
